"top x%","lung cancer death % cutpoint","lung cancer incidence % cutpoint","false positive risk cutpoint"
0.041,8.38748197800702,11.7971359892168,45.645522168712
0.042,8.27361699429525,11.7214585134338,45.6094137867204
0.043,8.20644210287022,11.5495180394593,45.5265269583922
0.044,8.16285945636135,11.4667005607578,45.4861753531024
0.045,8.10260119075133,11.3741840941738,45.4407624891976
0.046,8.06900797757648,11.2863833466953,45.3973319517819
0.047,8.01293340260922,11.2124083646601,45.3604853414702
0.048,7.96114254275934,11.1373716895597,45.3228684115034
0.049,7.9231086694759,11.108891958691,45.3085267948077
0.05,7.87544575536511,11.0422655013785,45.2748358781642
0.051,7.84622967123549,10.9654073011755,45.2357255901263
0.052,7.79034308362316,10.911181099949,45.2079717964505
0.053,7.74674361759913,10.8441383361378,45.1734730232618
0.054,7.70707270661694,10.8073315479221,45.1544451110321
0.055,7.6406437883338,10.7650450999456,45.1325067830388
0.056,7.59161041150694,10.6326062432533,45.0632532768133
0.057,7.54302154078347,10.5694987247634,45.0299595318408
0.058,7.50967704447045,10.4881084304842,44.9867351211558
0.059,7.4375576963045,10.4033355793814,44.9413678842387
0.06,7.37737831135942,10.3324706013578,44.9031683525466
0.061,7.34771023368038,10.2463900426847,44.8564246087966
0.062,7.29318888906778,10.2054730567022,44.8340724269104
0.063,7.23624963778443,10.1531047524499,44.8053378509044
0.064,7.17103247817045,10.1305194307861,44.7929009990751
0.065,7.1255347328432,10.0822082825682,44.7662077099519
0.066,7.07575617247994,10.0286191992844,44.7364531976251
0.067,7.03968615177306,9.94575517545505,44.6901403639284
0.068,7.00443679551695,9.88022771285576,44.6532522065542
0.069,6.93470374905484,9.84075601075797,44.6309176949201
0.07,6.87117707492416,9.78387468997601,44.5985795171221
0.071,6.82730306681578,9.74702025192382,44.5775299425228
0.072,6.77379005741945,9.68846865312826,44.5439293601224
0.073,6.73398766535045,9.62353329508624,44.5064352991226
0.074,6.70644530256565,9.56644675438512,44.4732708927225
0.075,6.65684014116973,9.51333153298213,44.4422416130289
0.076,6.6053993564237,9.47196793501024,44.4179614653147
0.077,6.55783701733114,9.42619145647312,44.3909714198487
0.078,6.53864095557069,9.37687478736272,44.3617521702581
0.079,6.47190126074644,9.34592770967231,44.3433407701159
0.08,6.44498324813867,9.29582340184501,44.3134070659362
0.081,6.42238768719559,9.26442139767114,44.294567201527
0.082,6.38861146922622,9.22439010269742,44.2704606265864
0.083,6.3488408116502,9.1898924408314,44.2496052957371
0.084,6.31771316257823,9.15496514236405,44.2284131806005
0.085,6.29224748006802,9.10257004612038,44.1964758546678
0.086,6.25368159134479,9.03909547727025,44.157546806577
0.087,6.20871010099898,9.01545916957843,44.1429832594723
0.088,6.17198641641297,8.94835326400429,44.1014344148762
0.089,6.15099382416137,8.9076021224059,44.0760564284868
0.09,6.10731785164912,8.83977829163704,44.0335697161929
0.091,6.08251200278585,8.77585094830531,43.9932353974409
0.092,6.06358179194511,8.74462500971045,43.9734307155341
0.093,6.0340247967532,8.68208501880214,43.9335598307707
0.094,5.99180546657771,8.63305673122247,43.9021091531509
0.095,5.96739749565695,8.60856530405103,43.8863339230026
0.096,5.94368647175776,8.57614670270777,43.8653861253605
0.097,5.91266511275033,8.54082672863254,43.8424766215131
0.098,5.87485783539759,8.51480593237945,43.8255404086018
0.099,5.8249223813082,8.46306686288145,43.7917163891127
0.1,5.78576482061144,8.42230658391285,43.7649292465445
0.101,5.76503446227985,8.36239052014139,43.7253258642644
0.102,5.73684067756714,8.32472024928127,43.7002865269268
0.103,5.70965268713545,8.29788733460538,43.6823842003912
0.104,5.68154108555631,8.27378466458567,43.6662558996848
0.105,5.65835532589192,8.20750505050216,43.6216708289181
0.106,5.62873708634612,8.17251586132495,43.5979944319709
0.107,5.60693682267,8.13430291628419,43.5720249957107
0.108,5.5743925792993,8.10822875339659,43.5542376498798
0.109,5.5465488746022,8.05125858486906,43.5151815042564
0.11,5.52478872589118,8.0197679326447,43.4934788156957
0.111,5.4998810848029,7.99305867279986,43.4750070801452
0.112,5.47569295104047,7.95300732955335,43.4471967048021
0.113,5.45527726662808,7.92363667031423,43.4267170055598
